from,to,relation,weight
BrFiIn,He,2,1
SvFi,He,2,1
CrEuMe,He,2,1
Eu,He,2,1
Fi,BoCaFiSa,2,1
GrFiCe,BoCaFiSa,2,1
MeBe,BoCaFiSa,2,1
MoFiHaSc,BoCaFiSa,2,1
FiIVä,BoCaFiSa,2,1
DeDaFi,BoCaFiSa,2,1
BrFiIn,BoCaFiSa,2,1
SvFi,BoCaFiSa,2,1
CrEuMe,BoCaFiSa,2,1
Eu,BoCaFiSa,2,1
Fi,SoFi,2,1
GrFiCe,SoFi,2,1
MeBe,SoFi,2,1
MoFiHaSc,SoFi,2,1
FiIVä,SoFi,2,1
DeDaFi,SoFi,2,1
BrFiIn,SoFi,2,1
SvFi,SoFi,2,1
CrEuMe,SoFi,2,1
Eu,SoFi,2,1
Fi,SoPaDePr,2,2
GrFiCe,SoPaDePr,2,1
MeBe,SoPaDePr,2,2
MoFiHaSc,SoPaDePr,2,1
FiIVä,SoPaDePr,2,1
DeDaFi,SoPaDePr,2,1
BrFiIn,SoPaDePr,2,1
SvFi,SoPaDePr,2,1
CrEuMe,SoPaDePr,2,2
Eu,SoPaDePr,2,1
EsFiPr,phbo,3,99
PlPr,phbo,3,99
CoOf,phbo,3,99
SvTeAb,phbo,3,99
ArFrCi,phbo,3,99
NoFi,phbo,3,99
He,phbo,3,99
BoCaFiSa,phbo,3,99
SoFi,phbo,3,99
SoPaDePr,phbo,3,99
phbo,EsFiPr,3,99
phbo,PlPr,3,99
phbo,CoOf,3,99
phbo,SvTeAb,3,99
phbo,ArFrCi,3,99
phbo,NoFi,3,99
phbo,He,3,99
phbo,BoCaFiSa,3,99
phbo,SoFi,3,99
phbo,SoPaDePr,3,99
EsFiPr,erhe,3,99
PlPr,erhe,3,99
CoOf,erhe,3,99
SvTeAb,erhe,3,99
ArFrCi,erhe,3,99
NoFi,erhe,3,99
He,erhe,3,99
BoCaFiSa,erhe,3,99
SoFi,erhe,3,99
SoPaDePr,erhe,3,99
erhe,EsFiPr,3,99
erhe,PlPr,3,99
erhe,CoOf,3,99
erhe,SvTeAb,3,99
erhe,ArFrCi,3,99
erhe,NoFi,3,99
erhe,He,3,99
erhe,BoCaFiSa,3,99
erhe,SoFi,3,99
erhe,SoPaDePr,3,99
clkö,EsFiPr,3,99
clkö,PlPr,3,99
clkö,CoOf,3,99
clkö,SvTeAb,3,99
clkö,ArFrCi,3,99
clkö,NoFi,3,99
clkö,He,3,99
clkö,BoCaFiSa,3,99
clkö,SoFi,3,99
clkö,SoPaDePr,3,99
EsFiPr,clkö,3,99
PlPr,clkö,3,99
CoOf,clkö,3,99
SvTeAb,clkö,3,99
ArFrCi,clkö,3,99
NoFi,clkö,3,99
He,clkö,3,99
BoCaFiSa,clkö,3,99
SoFi,clkö,3,99
SoPaDePr,clkö,3,99
NoFi,Ano,1,99
FiIVä,Ano,2,1
DeDaFi,Ano,2,1
Eu,Ano,2,1
NeFiFu,Ano,2,1
SwFiIn,Ano,2,1
NeFiPrIn,Ano,2,1
CrEuMe,Ano,2,1
kadi,Ano,1,99
sijo,Ano,1,99
kadi,sijo,3,99
sijo,kadi,3,99
FiIVä,NoFi,2,2
DeDaFi,NoFi,2,2
Eu,NoFi,2,2
NeFiFu,NoFi,2,1
SwFiIn,NoFi,2,1
NeFiPrIn,NoFi,2,1
CrEuMe,NoFi,2,2
NoFi,sijo,3,99
sijo,NoFi,3,99
kadi,NoFi,3,99
NoFi,kadi,3,99
KaPr,Tit,1,99
FrPr,Tit,1,99
ArFrCi,Tit,1,99
GaFoFoFi,Tit,2,1
CeNaDuCiEtDeLiAn,Tit,2,1
FiPaRe,Tit,2,1
Eu,Tit,2,1
jero,Tit,1,99
amov,Tit,1,99
jere,Tit,1,99
cawa,Tit,1,99
jero,amov,3,99
jero,jere,3,99
jero,cawa,3,99
amov,jero,3,99
amov,jere,3,99
amov,cawa,3,99
jere,jero,3,99
jere,amov,3,99
jere,cawa,3,99
cawa,amov,3,99
cawa,jere,3,99
cawa,jero,3,99
GaFoFoFi,KaPr,2,1
CeNaDuCiEtDeLiAn,KaPr,2,1
FiPaRe,KaPr,2,1
Eu,KaPr,2,1
GaFoFoFi,FrPr,2,1
CeNaDuCiEtDeLiAn,FrPr,2,1
FiPaRe,FrPr,2,1
Eu,FrPr,2,1
GaFoFoFi,ArFrCi,2,1
CeNaDuCiEtDeLiAn,ArFrCi,2,3
FiPaRe,ArFrCi,2,1
Eu,ArFrCi,2,4
KaPr,jero,3,99
FrPr,jero,3,99
ArFrCi,jero,3,99
KaPr,amov,3,99
FrPr,amov,3,99
ArFrCi,amov,3,99
KaPr,jere,3,99
FrPr,jere,3,99
ArFrCi,jere,3,99
KaPr,cawa,3,99
FrPr,cawa,3,99
ArFrCi,cawa,3,99
jero,KaPr,3,99
jero,FrPr,3,99
jero,ArFrCi,3,99
amov,KaPr,3,99
amov,FrPr,3,99
amov,ArFrCi,3,99
jere,KaPr,3,99
jere,FrPr,3,99
jere,ArFrCi,3,99
cawa,KaPr,3,99
cawa,FrPr,3,99
cawa,ArFrCi,3,99
Ba,Gis,1,99
CjEn,Gis,1,99
KoDeBa,Gis,2,1
RyPsAsMa,Gis,2,1
kwae,Gis,1,99
boho,Gis,1,99
mokw,Gis,1,99
jahw,Gis,1,99
boho,kwae,3,99
mokw,kwae,3,99
jahw,kwae,3,99
kwae,boho,3,99
mokw,boho,3,99
jahw,boho,3,99
kwae,mokw,3,99
boho,mokw,3,99
jahw,mokw,3,99
kwae,jahw,3,99
boho,jahw,3,99
mokw,jahw,3,99
KoDeBa,Ba,2,1
RyPsAsMa,Ba,2,1
KoDeBa,CjEn,2,1
RyPsAsMa,CjEn,2,1
Ba,kwae,3,99
CjEn,kwae,3,99
Ba,boho,3,99
CjEn,boho,3,99
Ba,mokw,3,99
CjEn,mokw,3,99
Ba,jahw,3,99
CjEn,jahw,3,99
kwae,Ba,3,99
boho,Ba,3,99
mokw,Ba,3,99
jahw,Ba,3,99
kwae,CjEn,3,99
boho,CjEn,3,99
mokw,CjEn,3,99
jahw,CjEn,3,99
TsPr,Sur,1,99
Lo,Sur,1,99
CeNaDuCiEtDeLiAn,Sur,2,1
celo,Sur,1,99
gisa,Sur,1,99
mipo,Sur,1,99
noha,Sur,1,99
celo,gisa,3,99
celo,mipo,3,99
celo,noha,3,99
gisa,mipo,3,99
gisa,noha,3,99
mipo,noha,3,99
FiPaRe,Sur,2,1
FiPaRe,Lo,2,1
CeNaDuCiEtDeLiAn,TsPr,2,1
CeNaDuCiEtDeLiAn,Lo,2,1
FiPaRe,TsPr,2,1
TsPr,celo,3,99
TsPr,gisa,3,99
TsPr,mipo,3,99
TsPr,noha,3,99
gisa,celo,3,99
mipo,celo,3,99
noha,celo,3,99
mipo,gisa,3,99
noha,gisa,3,99
noha,mipo,3,99
celo,TsPr,3,99
gisa,TsPr,3,99
mipo,TsPr,3,99
noha,TsPr,3,99
Lo,celo,3,99
Lo,gisa,3,99
Lo,mipo,3,99
Lo,noha,3,99
celo,Lo,3,99
gisa,Lo,3,99
mipo,Lo,3,99
noha,Lo,3,99
maza,Alc,1,99
stsc,Alc,1,99
tofo,Alc,1,99
semo,Alc,1,99
gipo,Alc,1,99
ElFi,Alc,1,99
Av,Alc,1,99
KiPr,Alc,1,99
ViFi,Alc,1,99
Eu,Alc,2,1
maza,stsc,3,99
maza,tofo,3,99
maza,semo,3,99
maza,gipo,3,99
stsc,maza,3,99
stsc,gipo,3,99
stsc,tofo,3,99
stsc,semo,3,99
tofo,maza,3,99
tofo,stsc,3,99
tofo,gipo,3,99
tofo,semo,3,99
semo,maza,3,99
semo,stsc,3,99
semo,tofo,3,99
semo,gipo,3,99
gipo,maza,3,99
gipo,stsc,3,99
gipo,tofo,3,99
gipo,semo,3,99
Eu,ElFi,2,1
Eu,Av,2,1
Eu,KiPr,2,1
Eu,ViFi,2,1
ElFi,maza,3,99
ElFi,stsc,3,99
ElFi,tofo,3,99
ElFi,semo,3,99
ElFi,gipo,3,99
maza,ElFi,3,99
stsc,ElFi,3,99
tofo,ElFi,3,99
semo,ElFi,3,99
gipo,ElFi,3,99
Av,maza,3,99
Av,stsc,3,99
Av,tofo,3,99
Av,semo,3,99
Av,gipo,3,99
maza,Av,3,99
stsc,Av,3,99
tofo,Av,3,99
semo,Av,3,99
gipo,Av,3,99
KiPr,maza,3,99
KiPr,stsc,3,99
KiPr,tofo,3,99
KiPr,semo,3,99
KiPr,gipo,3,99
maza,KiPr,3,99
stsc,KiPr,3,99
tofo,KiPr,3,99
semo,KiPr,3,99
gipo,KiPr,3,99
ViFi,maza,3,99
ViFi,stsc,3,99
ViFi,tofo,3,99
ViFi,semo,3,99
ViFi,gipo,3,99
maza,ViFi,3,99
stsc,ViFi,3,99
tofo,ViFi,3,99
semo,ViFi,3,99
gipo,ViFi,3,99
adso,Bab,1,99
path,Bab,1,99
adch,Bab,1,99
jiko,Bab,1,99
anti,Bab,1,99
En,Bab,1,99
Ki,Bab,1,99
MiFi,Bab,1,99
PaThDi,Bab,1,99
CeNaDuCiEtDeLiAn,Bab,2,1
FiFuLu,Bab,2,1
CzFiFu,Bab,2,1
CrAuCe,Bab,2,1
adso,anti,3,99
path,path,3,99
adch,adch,3,99
jiko,jiko,3,99
path,adso,3,99
path,anti,3,99
path,adch,3,99
path,jiko,3,99
adch,adso,3,99
adch,path,3,99
adch,anti,3,99
adch,jiko,3,99
jiko,adso,3,99
jiko,path,3,99
jiko,adch,3,99
jiko,anti,3,99
anti,adso,3,99
anti,path,3,99
anti,adch,3,99
anti,jiko,3,99
CeNaDuCiEtDeLiAn,En,2,1
CeNaDuCiEtDeLiAn,Ki,2,1
CeNaDuCiEtDeLiAn,MiFi,2,1
CeNaDuCiEtDeLiAn,PaThDi,2,1
FiFuLu,En,2,1
FiFuLu,Ki,2,1
FiFuLu,MiFi,2,1
FiFuLu,PaThDi,2,1
CzFiFu,En,2,1
CzFiFu,Ki,2,1
CzFiFu,MiFi,2,1
CzFiFu,PaThDi,2,1
CrAuCe,En,2,1
CrAuCe,Ki,2,1
CrAuCe,MiFi,2,1
CrAuCe,PaThDi,2,1
En,adso,3,99
En,path,3,99
En,adch,3,99
En,jiko,3,99
En,anti,3,99
adso,En,3,99
path,En,3,99
adch,En,3,99
jiko,En,3,99
anti,En,3,99
Ki,adso,3,99
Ki,path,3,99
Ki,adch,3,99
Ki,jiko,3,99
Ki,anti,3,99
adso,Ki,3,99
path,Ki,3,99
adch,Ki,3,99
jiko,Ki,3,99
anti,Ki,3,99
MiFi,adso,3,99
MiFi,path,3,99
MiFi,adch,3,99
MiFi,jiko,3,99
MiFi,anti,3,99
adso,MiFi,3,99
path,MiFi,3,99
adch,MiFi,3,99
jiko,MiFi,3,99
anti,MiFi,3,99
PaThDi,adso,3,99
PaThDi,path,3,99
PaThDi,adch,3,99
