from,to,relation
adpi,4PrFi,3
bedr,4PrFi,3
rasi,4PrFi,3
alka,4PrFi,3
mabo,4PrFi,3
mome,Tes,1
anmu,Tes,1
erme,Tes,1
In,Tes,1
HuNaFiFo,Tes,2
mome,anmu,3
mome,erme,3
anmu,mome,3
erme,mome,3
anmu,erme,3
erme,anmu,3
HuNaFiFo,In,2
In,mome,3
In,anmu,3
In,erme,3
mome,In,3
anmu,In,3
erme,In,3
giro,Fuo,1
dopa,Fuo,1
21Un,Fuo,1
ArFrCi,Fuo,1
RaCi,Fuo,1
StEn,Fuo,1
InLuCi,Fuo,2
giro,dopa,3
dopa,giro,3
InLuCi,21Un,2
InLuCi,ArFrCi,2
InLuCi,RaCi,2
InLuCi,StEn,2
21Un,giro,3
ArFrCi,giro,3
RaCi,giro,3
StEn,giro,3
giro,21Un,3
giro,ArFrCi,3
giro,RaCi,3
giro,StEn,3
21Un,dopa,3
ArFrCi,dopa,3
RaCi,dopa,3
StEn,dopa,3
dopa,21Un,3
dopa,ArFrCi,3
dopa,RaCi,3
dopa,StEn,3
JaPaFiPr,Tax,1
viqu,Bai,1
yash,Bai,1
juwa,Bai,1
dazh,Bai,1
OmMe,Bai,1
BoEnCh,Bai,1
ChFiGrCo,Bai,1
viqu,yash,3
viqu,juwa,3
viqu,dazh,3
yash,viqu,3
juwa,viqu,3
dazh,viqu,3
yash,juwa,3
yash,dazh,3
juwa,yash,3
dazh,yash,3
juwa,dazh,3
dazh,juwa,3
OmMe,viqu,3
OmMe,yash,3
OmMe,juwa,3
OmMe,dazh,3
viqu,OmMe,3
yash,OmMe,3
juwa,OmMe,3
dazh,OmMe,3
BoEnCh,viqu,3
BoEnCh,yash,3
BoEnCh,juwa,3
BoEnCh,dazh,3
viqu,BoEnCh,3
yash,BoEnCh,3
juwa,BoEnCh,3
dazh,BoEnCh,3
ChFiGrCo,viqu,3
ChFiGrCo,yash,3
ChFiGrCo,juwa,3
ChFiGrCo,dazh,3
viqu,ChFiGrCo,3
yash,ChFiGrCo,3
juwa,ChFiGrCo,3
dazh,ChFiGrCo,3
